iter	RMSE
939	46744.81507
940	46732.11281
941	46723.14893
942	46713.62002
943	46707.39936
944	46693.92804
945	46681.16281
946	46671.83679
947	46666.01113
948	46656.54231
949	46644.79244
950	46637.1658
951	46626.88126
952	46617.52295
953	46612.78856
954	46605.47261
955	46593.60075
956	46587.7561
957	46573.14572
958	46564.52579
959	46554.78686
960	46543.36931
961	46529.30092
962	46519.62429
963	46511.21353
964	46495.13241
965	46485.28329
966	46472.39842
967	46463.25366
968	46451.18674
969	46444.03107
970	46435.4173
971	46426.11497
972	46417.14555
973	46408.42965
974	46395.07052
975	46381.16691
976	46370.38731
977	46357.9658
978	46346.20929
979	46334.48292
980	46324.75239
981	46315.15637
982	46307.76423
983	46299.27925
984	46289.70115
985	46282.86293
986	46275.75652
987	46263.26659
988	46250.80049
989	46242.36283
990	46232.65173
991	46222.65693
992	46212.3108
993	46201.33995
994	46185.33891
995	46174.79486
996	46164.73392
997	46154.51138
998	46143.62086
999	46134.87257
